Value,Source
1,Water-masked SRTM void
2,Water-masked SRTM non-void
11,NGA-interpolated SRTM
31,NGA fill of SRTM via GDEM
51,USGS NED
101,ASTER granule count (1)
102,ASTER granule count (2)
103,ASTER granule count (3)
104,ASTER granule count (4)
105,ASTER granule count (5)
106,ASTER granule count (6)
107,ASTER granule count (7)
108,ASTER granule count (8)
109,ASTER granule count (9)
110,ASTER granule count (10)
111,ASTER granule count (11)
112,ASTER granule count (12)
113,ASTER granule count (13)
114,ASTER granule count (14)
115,ASTER granule count (15)
116,ASTER granule count (16)
117,ASTER granule count (17)
118,ASTER granule count (18)
119,ASTER granule count (19)
120,ASTER granule count (20)
121,ASTER granule count (21)
122,ASTER granule count (22)
123,ASTER granule count (23)
124,ASTER granule count (24)
125,ASTER granule count (25)
126,ASTER granule count (26)
127,ASTER granule count (27)
128,ASTER granule count (28)
129,ASTER granule count (29)
130,ASTER granule count (30)
131,ASTER granule count (31)
132,ASTER granule count (32)
133,ASTER granule count (33)
134,ASTER granule count (34)
135,ASTER granule count (35)
136,ASTER granule count (36)
137,ASTER granule count (37)
138,ASTER granule count (38)
139,ASTER granule count (39)
140,ASTER granule count (40)
201,SRTM swath count (non-voided swaths) Actual=1
202,SRTM swath count (non-voided swaths) Actual=2
203,SRTM swath count (non-voided swaths) Actual=3
204,SRTM swath count (non-voided swaths) Actual=4
205,SRTM swath count (non-voided swaths) Actual=5
